mmc_code,mmc_name,mmc_type,price_low,price_high,rvs_code,rvs_procedure,case_rate,confidence,rationale
18170027,ACL ARTHROSCOPY/MENISECTOMY PACKAGE,OPERATING ROOM,197000,208000,29888,ARTHROSCOPICALLY AIDED ANTERIOR CRUCIATE LIGAMENT REPAIR/AUGMENTATION OR RECONSTRUCTION,72501.00,high,Arthroscopically aided anterior cruciate ligament repair.
18170026,ANKLE ARTHROSCOPY PACKAGE,OPERATING ROOM,160080,177080,29897,"ARTHROSCOPY, ANKLE (TIBIOTALAR AND FIBULOTALAR JOINTS), SURGICAL; DEBRIDEMENT, LIMITED",40911.00,medium,"Ankle arthroscopy with limited debridement; 29898 (extensive) pays more and is not indicated by the name, so the lower rate is the conservative choice."
18170001,ARTERIO VENOUS FISTULA CREATION PACKAGE,OPERATING ROOM,74200,88200,36821,"ARTERIOVENOUS ANASTOMOSIS, DIRECT, ANY SITE (E.G., CIMINO TYPE)",18915.00,high,Direct arteriovenous anastomosis (Cimino type) -- the standard dialysis-access fistula.
18170017,ARTERIO VENOUS GRAFT PACKAGE,OPERATING ROOM,143200,162700,36830,CREATION OF ARTERIOVENOUS FISTULA BY OTHER THAN DIRECT ARTERIOVENOUS ANASTOMOSIS ; NONAUTOGENOUS GRAFT,25155.00,high,"AV fistula created by nonautogenous graft, i.e. a graft rather than a direct fistula."
18170024,ARTHROSCOPIC MENISECTOMY PACKAGE,OPERATING ROOM,144060,156060,29881,"ARTHROSCOPY, KNEE, SURGICAL; W/ MENISCECTOMY (MEDIAL OR LATERAL, INCLUDING ANY MENISCAL SHAVING)",59943.00,high,Arthroscopic knee meniscectomy; 27332/27333 are the open arthrotomy operation.
18170034,ARTHROSCOPIC MENISECTOMY PACKAGE W/ANES,OPERATING ROOM,124060,134060,29881,"ARTHROSCOPY, KNEE, SURGICAL; W/ MENISCECTOMY (MEDIAL OR LATERAL, INCLUDING ANY MENISCAL SHAVING)",59943.00,high,"Same operation; the suffix denotes anaesthesia inclusion, not extra surgery."
18170030,BRONCHOSCOPY PACKAGE,OPERATING ROOM,58740,70040,31622,"BRONCHOSCOPY; DIAGNOSTIC, (FLEXIBLE OR RIGID), W/ OR W/O CELL WASHING OR BRUSHING",21372.00,high,Diagnostic flexible/rigid bronchoscopy.
18170009,CABG OFF/ON PUMP 3 VESSELS PACKAGE,OPERATING ROOM,1063600,1168600,33533,"CORONARY ARTERY BYPASS, USING ARTERIAL GRAFT(S); SINGLE ARTERIAL GRAFT",104130.00,medium,"Coronary artery bypass using arterial graft(s). The catalog codes CABG by graft type and count; arterial grafting is standard for multi-vessel CABG. Vein-only equivalents (33510/33511) pay the same P104,130, so the choice does not change the estimate."
18170008,CABG OFF/ON PUMP 5 VESSELS PACKAGE,OPERATING ROOM,1065200,1170200,33536,"CORONARY ARTERY BYPASS, USING ARTERIAL GRAFT(S); FOUR OR MORE CORONARY ARTERIAL GRAFTS",114660.00,medium,"CABG, arterial graft(s), four or more coronary grafts -- matches 5 vessels."
12010038,CESAREAN SECTION MOTHER PACKAGE,DELIVERY SURGERY,67500,193400,59514,CESARIAN DELIVERY,37050.00,high,Mother's cesarean delivery; the baby package is billed separately and is newborn care.
12010046,CESAREAN SECTION PROCEDURE,DELIVERY SURGERY,45940,45940,59514,CESARIAN DELIVERY,37050.00,high,"Cesarean delivery, direct match."
18170039,CIRCUMCISION PACKAGE - OR,OPERATING ROOM,13700,17120,54152,"CIRCUMCISION, USING CLAMP OR OTHER DEVICE; EXCEPT NEWBORN",2457.00,high,"Circumcision by clamp/device, other than newborn (this is the OR package, not the newborn nursery item)."
18170033,CYSTOSCOPY PACKAGE,OPERATING ROOM,42500,73960,52000,CYSTOURETHROSCOPY,16107.00,high,"Cystourethroscopy. 52005 adds ureteral catheterization, which MMC's name does not."
12010045,DIAGNOSTIC HYSTEROSCOPY PACKAGE OUTPATIENT,DELIVERY SURGERY,86000,86000,58555,"HYSTEROSCOPY, DIAGNOSTIC",18915.00,high,Diagnostic hysteroscopy.
